"","X","ID","Colecao","Localidade","HemipenisMedido","Hemipenis_Evertido","No_LACV","FabDocCh4AP","FabDoc3CitB","FabDocCh2","FabMestrado","UF","Latitude","Longitude","Altitude","Especie_Fabricius","Especie_Welington","Clado"
"95",164,"53293","CHUNB","Cavalcante",NA,NA,NA,NA,"SIM",NA,NA,"GO",-13.64,-47.72,961,NA,NA,NA
"105",165,"53291","CHUNB","Cavalcante",NA,NA,NA,NA,"SIM",NA,NA,"GO",-13.64,-47.72,961,NA,NA,NA
"106",718,"53051","CHUNB","MonteAlegredeGoias",NA,NA,NA,NA,"SIM",NA,NA,"GO",-13.25,-46.9,564,NA,NA,NA
"115",719,"53059","CHUNB","MonteAlegre",NA,NA,"SIM",NA,NA,"SIM","SIM","GO",-13.09325,-47.02351,579,"G. amarali Clade G",NA,7
"125",720,"53062","CHUNB","MonteAlegre",NA,NA,"SIM",NA,NA,NA,"SIM","GO",-13.09325,-47.02351,564,"G. amarali",NA,7
"134",721,"53061","CHUNB","MonteAlegre",NA,NA,"SIM",NA,NA,"SIM","SIM","GO",-13.09325,-47.02351,579,"G. amarali Clade G",NA,7
"144",722,"53052","CHUNB","MonteAlegre",NA,NA,NA,NA,NA,NA,"SIM","GO",-13.09325,-47.02351,564,"G. amarali",NA,7
"155",723,"53054","CHUNB","MonteAlegre",NA,NA,"SIM",NA,NA,"SIM","SIM","GO",-13.09325,-47.02351,579,"G. amarali Clade G",NA,7
"165",724,"53058","CHUNB","MonteAlegre",NA,NA,"SIM",NA,NA,"SIM","SIM","GO",-13.09325,-47.02351,579,"G. amarali Clade G",NA,7
"175",725,"53056","CHUNB","MonteAlegre",NA,NA,NA,NA,NA,NA,"SIM","GO",-13.09325,-47.02351,564,"G. amarali",NA,7
"185",726,"53060","CHUNB","MonteAlegre",NA,NA,"SIM","SIM",NA,NA,"SIM","GO",-13.09325,-47.02351,564,"G. amarali",NA,7
"195",727,"53055","CHUNB","MonteAlegre",NA,NA,NA,NA,NA,NA,"SIM","GO",-13.09325,-47.02351,564,"G. amarali",NA,7
"205",728,"53051","CHUNB","MonteAlegre",NA,NA,NA,NA,NA,NA,"SIM","GO",-13.09325,-47.02351,564,"G. amarali",NA,7
"218",729,"53068","CHUNB","MonteAlegre",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.09325,-47.02351,NA,"G. amarali",NA,7
"225",730,"53066","CHUNB","MonteAlegre",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.09325,-47.02351,NA,"G. amarali",NA,7
"234",731,"53083","CHUNB","MonteAlegre",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.09325,-47.02351,NA,"G. amarali",NA,7
"244",732,"53078","CHUNB","MonteAlegre",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.09325,-47.02351,NA,"G. amarali",NA,7
"254",733,"53082","CHUNB","MonteAlegre",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.09325,-47.02351,NA,"G. amarali",NA,7
"263",734,"53074","CHUNB","MonteAlegre",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.09325,-47.02351,NA,"G. amarali",NA,7
"273",735,"53084","CHUNB","MonteAlegre",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.09325,-47.02351,NA,"G. amarali",NA,7
"283",736,"53075","CHUNB","MonteAlegre",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.09325,-47.02351,NA,"G. amarali",NA,7
"292",737,"53077","CHUNB","MonteAlegre",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.09325,-47.02351,NA,"G. amarali",NA,7
"301",738,"53076","CHUNB","MonteAlegre",NA,NA,NA,NA,NA,NA,"SIM",NA,-13.09325,-47.02351,NA,"G. amarali",NA,7
"219",864,"37125","CHUNB","Parana",NA,NA,NA,NA,NA,"SIM","SIM","TO",-12.75309,-47.75906,289,"G. amarali Clade G",NA,7
"45",866,"37128","CHUNB","Parana",NA,NA,NA,NA,NA,"SIM","SIM","TO",-12.75309,-47.75906,289,"G. amarali Clade G",NA,7
"66",868,"37090","CHUNB","Parana",NA,NA,NA,NA,NA,"SIM","SIM","TO",-12.75309,-47.75906,289,"G. amarali Clade G",NA,7
"77",869,"37088","CHUNB","Parana","SIM","SIM","SIM",NA,NA,NA,"SIM",NA,-12.75309,-47.75906,NA,"G. amarali","G",7
"86",870,"37086","CHUNB","Parana",NA,NA,"SIM",NA,NA,NA,"SIM",NA,-12.75309,-47.75906,NA,"G. amarali",NA,7
"96",871,"37093","CHUNB","Parana",NA,NA,NA,NA,NA,NA,"SIM",NA,-12.75309,-47.75906,NA,"G. amarali",NA,7
"107",872,"33548","CHUNB","Parana",NA,NA,NA,NA,NA,NA,"SIM",NA,-12.75309,-47.75906,NA,"G. amarali",NA,7
"116",873,"33581","CHUNB","Parana",NA,NA,NA,NA,NA,NA,"SIM",NA,-12.75309,-47.75906,NA,"G. amarali",NA,7
"126",874,"33542","CHUNB","Parana",NA,NA,NA,NA,NA,NA,"SIM",NA,-12.75309,-47.75906,NA,"G. amarali",NA,7
"135",875,"33549","CHUNB","Parana",NA,NA,NA,NA,NA,NA,"SIM",NA,-12.75309,-47.75906,NA,"G. amarali",NA,7
"145",876,"37116","CHUNB","Parana",NA,NA,NA,NA,NA,NA,"SIM",NA,-12.75309,-47.75906,NA,"G. amarali",NA,7
"156",877,"37123","CHUNB","Parana",NA,NA,NA,NA,NA,NA,"SIM",NA,-12.75309,-47.75906,NA,"G. amarali",NA,7
"166",878,"33540","CHUNB","Parana",NA,NA,NA,NA,NA,NA,"SIM",NA,-12.75309,-47.75906,NA,"G. amarali",NA,7
"176",879,"33570","CHUNB","Parana",NA,NA,NA,NA,NA,NA,"SIM",NA,-12.75309,-47.75906,NA,"G. amarali",NA,7
"186",880,"33553","CHUNB","Parana",NA,NA,NA,NA,NA,NA,"SIM",NA,-12.75309,-47.75906,NA,"G. amarali",NA,7
"196",881,"33544","CHUNB","Parana",NA,NA,NA,NA,NA,NA,"SIM",NA,-12.75309,-47.75906,NA,"G. amarali",NA,7
"206",882,"33561","CHUNB","Parana",NA,NA,NA,NA,NA,NA,"SIM",NA,-12.75309,-47.75906,NA,"G. amarali",NA,7
"2110",883,"33537","CHUNB","Parana",NA,NA,NA,NA,NA,NA,"SIM",NA,-12.75309,-47.75906,NA,"G. amarali",NA,7
"226",884,"33539","CHUNB","Parana",NA,NA,NA,NA,NA,NA,"SIM",NA,-12.75309,-47.75906,NA,"G. amarali",NA,7
"235",885,"37126","CHUNB","Parana",NA,NA,NA,NA,NA,NA,"SIM",NA,-12.75309,-47.75906,NA,"G. amarali",NA,7
"117",4,"42411","CHUNB","Almas",NA,NA,"SIM",NA,NA,NA,"SIM",NA,-11.473671,-47.121126,NA,"G. amarali",NA,9
"220",5,"42421","CHUNB","Almas",NA,NA,"SIM",NA,NA,NA,"SIM",NA,-11.473671,-47.121126,NA,"G. amarali",NA,9
"39",6,"42420","CHUNB","Almas",NA,NA,NA,NA,NA,NA,"SIM",NA,-11.473671,-47.121126,NA,"G. amarali",NA,9
"46",7,"42426","CHUNB","Almas",NA,NA,NA,NA,NA,NA,"SIM",NA,-11.473671,-47.121126,NA,"G. amarali",NA,9
"55",8,"42418","CHUNB","Almas",NA,NA,NA,NA,NA,NA,"SIM",NA,-11.473671,-47.121126,NA,"G. amarali",NA,9
"67",9,"42414","CHUNB","Almas",NA,NA,NA,NA,NA,NA,"SIM",NA,-11.473671,-47.121126,NA,"G. amarali",NA,9
"78",10,"42417","CHUNB","Almas",NA,NA,NA,NA,NA,NA,"SIM",NA,-11.473671,-47.121126,NA,"G. amarali",NA,9
"87",11,"42423","CHUNB","Almas",NA,NA,NA,NA,NA,NA,"SIM",NA,-11.473671,-47.121126,NA,"G. amarali",NA,9
"97",12,"42422","CHUNB","Almas",NA,NA,NA,NA,NA,NA,"SIM",NA,-11.473671,-47.121126,NA,"G. amarali",NA,9
"108",13,"42419","CHUNB","Almas",NA,NA,NA,NA,NA,NA,"SIM",NA,-11.473671,-47.121126,NA,"G. amarali",NA,9
"118",14,"42416","CHUNB","Almas",NA,NA,NA,NA,NA,NA,"SIM",NA,-11.473671,-47.121126,NA,"G. amarali",NA,9
"127",15,"42412","CHUNB","Almas",NA,NA,NA,NA,NA,NA,"SIM",NA,-11.473671,-47.121126,NA,"G. amarali",NA,9
"136",16,"42425","CHUNB","Almas",NA,NA,NA,NA,NA,NA,"SIM",NA,-11.473671,-47.121126,NA,"G. amarali",NA,9
"146",17,"42413","CHUNB","Almas",NA,NA,NA,NA,NA,NA,"SIM",NA,-11.473671,-47.121126,NA,"G. amarali",NA,9
"157",18,"42415","CHUNB","Almas",NA,NA,NA,NA,NA,NA,"SIM",NA,-11.473671,-47.121126,NA,"G. amarali",NA,9
"167",19,"42424","CHUNB","Almas",NA,NA,NA,NA,NA,NA,"SIM",NA,-11.473671,-47.121126,NA,"G. amarali",NA,9
"119",316,"28222","CHUNB","Mateiros",NA,NA,"SIM",NA,NA,"SIM","SIM","TO",-10.70224,-46.41278,629,"G. amarali Clade H",NA,10
"227",317,"28224","CHUNB","Mateiros",NA,NA,"SIM",NA,NA,NA,"SIM","TO",-10.70224,-46.41278,632,"G. amarali",NA,10
"310",318,"28219","CHUNB","Mateiros",NA,NA,"SIM","SIM",NA,"SIM","SIM","TO",-10.70224,-46.41278,629,"G. amarali Clade H",NA,10
"47",319,"28220","CHUNB","Mateiros",NA,NA,"SIM",NA,NA,"SIM","SIM","TO",-10.70224,-46.41278,629,"G. amarali Clade H",NA,10
"56",320,"8674","CHUNB","Mateiros",NA,NA,NA,NA,"SIM",NA,NA,"TO",-10.7,-46.41,632,"G. amarali",NA,NA
"168",331,"28223","CHUNB","Mateiros",NA,"SIM","SIM",NA,NA,NA,"SIM",NA,-10.70224,-46.41278,NA,"G. amarali","H",10
"177",332,"28218","CHUNB","Mateiros",NA,NA,"SIM",NA,NA,NA,"SIM",NA,-10.70224,-46.41278,NA,"G. amarali",NA,10
"187",333,"28225","CHUNB","Mateiros",NA,NA,"SIM",NA,NA,NA,"SIM",NA,-10.70224,-46.41278,NA,"G. amarali",NA,10
"197",334,"28233","CHUNB","Mateiros",NA,NA,"SIM",NA,NA,NA,"SIM",NA,-10.70224,-46.41278,NA,"G. amarali",NA,10
"207",335,"28214","CHUNB","Mateiros",NA,NA,NA,NA,NA,NA,"SIM",NA,-10.70224,-46.41278,NA,"G. amarali",NA,10
"2111",336,"28277","CHUNB","Mateiros",NA,NA,NA,NA,NA,NA,"SIM",NA,-10.70224,-46.41278,NA,"G. amarali",NA,10
"228",337,"42356","CHUNB","Mateiros",NA,NA,NA,NA,NA,NA,"SIM",NA,-10.70224,-46.41278,NA,"G. amarali",NA,10
"236",338,"28296","CHUNB","Mateiros",NA,NA,NA,NA,NA,NA,"SIM",NA,-10.70224,-46.41278,NA,"G. amarali",NA,10
"245",339,"28211","CHUNB","Mateiros",NA,NA,NA,NA,NA,NA,"SIM",NA,-10.70224,-46.41278,NA,"G. amarali",NA,10
"255",340,"28215","CHUNB","Mateiros",NA,NA,NA,NA,NA,NA,"SIM",NA,-10.70224,-46.41278,NA,"G. amarali",NA,10
"264",341,"28247","CHUNB","Mateiros",NA,NA,NA,NA,NA,NA,"SIM",NA,-10.70224,-46.41278,NA,"G. amarali",NA,10
"274",342,"42351","CHUNB","Mateiros",NA,NA,NA,NA,NA,NA,"SIM",NA,-10.70224,-46.41278,NA,"G. amarali",NA,10
"284",343,"28259","CHUNB","Mateiros",NA,NA,NA,NA,NA,NA,"SIM",NA,-10.70224,-46.41278,NA,"G. amarali",NA,10
"293",344,"28212","CHUNB","Mateiros",NA,NA,NA,NA,NA,NA,"SIM",NA,-10.70224,-46.41278,NA,"G. amarali",NA,10
"302",345,"28235","CHUNB","Mateiros",NA,NA,NA,NA,NA,NA,"SIM",NA,-10.70224,-46.41278,NA,"G. amarali",NA,10
"311",346,"28205","CHUNB","Mateiros",NA,NA,NA,NA,NA,NA,"SIM",NA,-10.70224,-46.41278,NA,"G. amarali",NA,10
"120",106,"52006","CHUNB","Carolina",NA,NA,NA,NA,"SIM",NA,NA,"MA",-7.37,-47.43,176,NA,NA,NA
"229",108,"52007","CHUNB","Carolina",NA,NA,NA,NA,"SIM",NA,NA,"MA",-7.37,-47.43,176,NA,NA,NA
"312",109,"52006","CHUNB","Carolina",NA,NA,NA,NA,NA,NA,"SIM","MA",-7.366666667,-47.43333333,176,"G. amarali",NA,12
"48",110,"52007","CHUNB","Carolina",NA,NA,NA,"SIM",NA,NA,"SIM","MA",-7.366666667,-47.43333333,176,"G. amarali",NA,12
"57",111,"52008","CHUNB","Carolina",NA,NA,NA,NA,NA,NA,"SIM",NA,-7.366666667,-47.43333333,NA,"G. amarali",NA,12
"128",312,"58341","CHUNB","Manga",NA,NA,NA,NA,NA,"SIM",NA,"MG",-14.84,-43.99,477,"Manga",NA,NA
"230",313,"58337","CHUNB","Manga",NA,NA,NA,NA,NA,"SIM",NA,"MG",-14.84,-43.99,477,"Manga",NA,NA
"313",314,"58336",NA,"Manga",NA,NA,NA,"SIM",NA,"SIM",NA,"MG",-14.84,-43.99,477,"Manga",NA,NA
"49",315,"58338","CHUNB","Manga",NA,NA,NA,NA,NA,"SIM",NA,"MG",-14.84,-43.99,477,"Manga",NA,NA
"129",1106,"9443","CHUNB","PresidenteKennedy",NA,NA,NA,NA,NA,"SIM",NA,"ES",NA,NA,NA,"G. darwinii",NA,NA
"237",1107,"9453","CHUNB","PresidenteKennedy",NA,NA,NA,NA,NA,"SIM",NA,"ES",NA,NA,NA,"G. darwinii",NA,NA
"314",1108,"13546","CHUNB","PresidenteKennedy",NA,NA,NA,NA,NA,"SIM",NA,"ES",NA,NA,NA,"G. darwinii",NA,NA
"410",1005,"67441","CHUNB","Pirenopolis",NA,"SIM","SIM",NA,NA,"SIM",NA,"GO",-15.81,-48.87,1310,"G. amarali Clade C","C",NA
"68",1007,"893","CHUNB","Pirenopolis",NA,NA,NA,NA,NA,NA,"SIM",NA,-15.82596,-49.01104,NA,"G. amarali",NA,NA
"79",1008,"87","CHUNB","Pirenopolis",NA,NA,NA,NA,NA,NA,"SIM",NA,-15.82596,-49.01104,NA,"G. amarali",NA,NA
"88",1009,"11080","CHUNB","Pirenopolis",NA,NA,NA,NA,NA,NA,"SIM",NA,-15.82596,-49.01104,NA,"G. amarali",NA,NA
"98",1010,"39806","CHUNB","Pirenopolis",NA,NA,NA,NA,NA,NA,"SIM",NA,-15.82596,-49.01104,NA,"G. amarali",NA,NA
"109",1011,"90","CHUNB","Pirenopolis",NA,NA,NA,NA,NA,NA,"SIM",NA,-15.82596,-49.01104,NA,"G. amarali",NA,NA
"1110",1012,"34684","CHUNB","Pirenopolis",NA,NA,NA,NA,NA,NA,"SIM",NA,-15.82596,-49.01104,NA,"G. amarali",NA,NA
"1210",1013,"312","CHUNB","Pirenopolis",NA,NA,NA,NA,NA,NA,"SIM",NA,-15.82596,-49.01104,NA,"G. amarali",NA,NA
"137",1014,"386","CHUNB","Pirenopolis",NA,NA,NA,NA,NA,NA,"SIM",NA,-15.82596,-49.01104,NA,"G. amarali",NA,NA
"147",1015,"391","CHUNB","Pirenopolis",NA,NA,NA,NA,NA,NA,"SIM",NA,-15.82596,-49.01104,NA,"G. amarali",NA,NA
"158",1016,"92","CHUNB","Pirenopolis",NA,NA,NA,NA,NA,NA,"SIM",NA,-15.82596,-49.01104,NA,"G. amarali",NA,NA
"169",1017,"299","CHUNB","Pirenopolis",NA,NA,NA,NA,NA,NA,"SIM",NA,-15.82596,-49.01104,NA,"G. amarali",NA,NA
"178",1018,"377","CHUNB","Pirenopolis",NA,NA,NA,NA,NA,NA,"SIM",NA,-15.82596,-49.01104,NA,"G. amarali",NA,NA
"188",1019,"34682","CHUNB","Pirenopolis",NA,NA,NA,NA,NA,NA,"SIM",NA,-15.82596,-49.01104,NA,"G. amarali",NA,NA
"198",1020,"293","CHUNB","Pirenopolis",NA,NA,NA,NA,NA,NA,"SIM",NA,-15.82596,-49.01104,NA,"G. amarali",NA,NA
"208",1021,"91","CHUNB","Pirenopolis",NA,NA,NA,NA,NA,NA,"SIM",NA,-15.82596,-49.01104,NA,"G. amarali",NA,NA
"2112",1022,"94","CHUNB","Pirenopolis",NA,NA,NA,NA,NA,NA,"SIM",NA,-15.82596,-49.01104,NA,"G. amarali",NA,NA
"2210",1023,"88","CHUNB","Pirenopolis",NA,NA,NA,NA,NA,NA,"SIM",NA,-15.82596,-49.01104,NA,"G. amarali",NA,NA
"238",1024,"385","CHUNB","Pirenopolis",NA,NA,NA,NA,NA,NA,"SIM",NA,-15.82596,-49.01104,NA,"G. amarali",NA,NA
"246",1025,"86","CHUNB","Pirenopolis",NA,NA,NA,NA,NA,NA,"SIM",NA,-15.82596,-49.01104,NA,"G. amarali",NA,NA
"256",1026,"34681","CHUNB","Pirenopolis",NA,NA,NA,NA,NA,NA,"SIM",NA,-15.82596,-49.01104,NA,"G. amarali",NA,NA
"239",804,"10442","GRC","Palmas",NA,NA,NA,"SIM",NA,"SIM",NA,"TO",-10.19,-48.11,657,"G. amarali Clade H",NA,NA
"411",806,"14555","CHUNB","Palmas",NA,NA,NA,NA,NA,"SIM","SIM","TO",-10.18914,-48.10853,657,"G. amarali Clade F",NA,NA
"58",807,"11514","CHUNB","Palmas","SIM","SIM","SIM",NA,NA,NA,"SIM",NA,-10.18914,-48.10853,NA,"G. amarali","F",NA
"69",808,"11515","CHUNB","Palmas",NA,"SIM","SIM",NA,NA,NA,"SIM",NA,-10.18914,-48.10853,NA,"G. amarali","H",NA
"710",809,"11181","CHUNB","Palmas",NA,NA,"SIM",NA,NA,NA,"SIM",NA,-10.18914,-48.10853,NA,"G. amarali",NA,NA
"89",810,"11200","CHUNB","Palmas",NA,NA,NA,NA,NA,NA,"SIM",NA,-10.18914,-48.10853,NA,"G. amarali",NA,NA
"99",811,"25089","CHUNB","Palmas",NA,NA,NA,NA,NA,NA,"SIM",NA,-10.18914,-48.10853,NA,"G. amarali",NA,NA
"1010",812,"11506","CHUNB","Palmas",NA,NA,NA,NA,NA,NA,"SIM",NA,-10.18914,-48.10853,NA,"G. amarali",NA,NA
"1111",813,"11174","CHUNB","Palmas",NA,NA,NA,NA,NA,NA,"SIM",NA,-10.18914,-48.10853,NA,"G. amarali",NA,NA
"1211",814,"11176","CHUNB","Palmas",NA,NA,NA,NA,NA,NA,"SIM",NA,-10.18914,-48.10853,NA,"G. amarali",NA,NA
"138",815,"11203","CHUNB","Palmas",NA,NA,NA,NA,NA,NA,"SIM",NA,-10.18914,-48.10853,NA,"G. amarali",NA,NA
"148",816,"11503","CHUNB","Palmas",NA,NA,NA,NA,NA,NA,"SIM",NA,-10.18914,-48.10853,NA,"G. amarali",NA,NA
"159",817,"11513","CHUNB","Palmas",NA,NA,NA,NA,NA,NA,"SIM",NA,-10.18914,-48.10853,NA,"G. amarali",NA,NA
"1610",818,"11186","CHUNB","Palmas",NA,NA,NA,NA,NA,NA,"SIM",NA,-10.18914,-48.10853,NA,"G. amarali",NA,NA
"179",819,"11182","CHUNB","Palmas",NA,NA,NA,NA,NA,NA,"SIM",NA,-10.18914,-48.10853,NA,"G. amarali",NA,NA
"189",820,"11177","CHUNB","Palmas",NA,NA,NA,NA,NA,NA,"SIM",NA,-10.18914,-48.10853,NA,"G. amarali",NA,NA
"199",821,"11188","CHUNB","Palmas",NA,NA,NA,NA,NA,NA,"SIM",NA,-10.18914,-48.10853,NA,"G. amarali",NA,NA
"209",822,"11202","CHUNB","Palmas",NA,NA,NA,NA,NA,NA,"SIM",NA,-10.18914,-48.10853,NA,"G. amarali",NA,NA
"2113",823,"11179","CHUNB","Palmas",NA,NA,NA,NA,NA,NA,"SIM",NA,-10.18914,-48.10853,NA,"G. amarali",NA,NA
"2211",824,"11189","CHUNB","Palmas",NA,NA,NA,NA,NA,NA,"SIM",NA,-10.18914,-48.10853,NA,"G. amarali",NA,NA
"2310",825,"11183","CHUNB","Palmas",NA,NA,NA,NA,NA,NA,"SIM",NA,-10.18914,-48.10853,NA,"G. amarali",NA,NA
"130",507,"58348","CHUNB","MatiasCardoso",NA,NA,NA,NA,NA,"SIM",NA,"MG",-14.99,-43.95,464,"Matias Cardoso",NA,NA
"240",508,"58323","CHUNB","MatiasCardoso",NA,NA,NA,NA,NA,"SIM",NA,"MG",-14.99,-43.95,464,"Matias Cardoso",NA,NA
"315",509,"58335","CHUNB","MatiasCardoso",NA,NA,NA,"SIM",NA,"SIM",NA,"MG",-14.99,-43.95,464,"Matias Cardoso",NA,NA
